A,G-alpha / q,G-alpha / 11,G-alpha / 14,G-alpha / 15,G-alpha / i3,G-alpha / i1,G-alpha / i2,G-alpha / o,G-alpha / t1,G-alpha / t2,G-alpha / t3,G-alpha / z,G-alpha / 13,G-alpha / 12,G-alpha / s1,G-alpha / s2,G-alpha / olf
FZD1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0
FZD2,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
FZD3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
FZD4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
FZD5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FZD6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
FZD7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
FZD8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FZD9,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
FZD10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0